nquest,NCOMP,nord,sex,parent,anasc,cit,aningr,motiv,staciv,studio,tipolau,votoedu,suedu,selode,annoedu,tipodip,univer,apqual,asnonoc,nace,nordp,motent,annoenus,NASCREG,NASCAREA,ireg,ETA,isco,CLETA5,QUAL,Q,SETT,CFRED,PERC,PERL,NPERL,NPERC,AREA3,AREA5,ACOM4C,ACOM5,PESOFIT
173,1,1,1,1,1948,1,,,3,5,,44,60,0,1968,2,2,15,2,10,1,,,18,3,18,68,,5,6,3,5,1,1,0,0,1,3,4,2,4,0.3101662258
375,1,1,2,1,1925,1,,,4,2,,,,,,,,15,1,7,1,,,16,3,16,91,,5,6,3,5,1,1,0,0,1,3,4,2,4,1.8225577543
633,1,1,2,1,1934,1,,,4,2,,,,,,,,15,1,3,1,,,5,1,5,82,,5,6,3,5,1,1,0,0,1,1,2,1,3,0.3920309697
923,1,1,2,1,1932,1,,,4,2,,,,,,,,16,,,1,,,13,3,13,84,,5,6,3,5,1,1,0,0,1,3,4,2,4,0.3169209009
1367,2,1,1,1,1927,1,,,1,3,,,,,,,,15,7,1,1,,,18,3,18,89,,5,6,3,5,1,1,0,0,2,3,4,2,4,0.3664242421
1367,2,2,2,2,1930,1,,,1,1,,,,,,,,15,8,1,2,,,18,3,18,86,,5,6,3,5,0,1,0,0,2,3,4,2,4,0.3664242421
1763,2,1,1,1,1947,1,,,1,2,,,,,,,,15,1,3,1,,,17,3,17,69,,5,6,3,5,0,1,0,1,2,3,4,0,1,1.9134129475
1763,2,2,2,2,1954,1,,,1,2,,,,,,,,1,,1,2,,,17,3,17,62,92,4,1,1,1,1,1,1,1,2,3,4,0,1,1.9134129475
1946,1,1,1,1,1953,1,,,2,5,,38,60,0,1977,2,2,16,,,1,,,5,1,5,63,,4,6,3,5,1,1,0,0,1,1,2,2,4,0.3127383093
2886,3,1,1,1,1949,1,,,1,5,,37,60,0,1970,2,2,15,2,16,1,,,13,3,13,67,,5,6,3,5,0,1,0,0,2,3,4,2,4,0.2798557409
2886,3,2,2,2,1952,1,,,1,6,3,110,110,1,2002,5,,15,2,17,2,,,13,3,13,64,,4,6,3,5,1,1,0,0,2,3,4,2,4,0.2798557409
2886,3,3,1,6,1977,1,,,2,5,,54,60,0,1996,2,2,11,,,3,,,13,3,13,39,,2,7,3,5,0,0,0,0,2,3,4,2,4,0.2798557409
3717,1,1,2,1,1954,1,,,2,5,,8,10,0,1973,3,2,21,,,1,,,16,3,16,62,,4,7,3,5,1,1,0,0,1,3,4,2,4,0.2440215317
5416,5,1,2,1,1958,1,,,3,2,,,,,,,,1,,17,1,,,20,3,8,58,32,4,1,1,3,0,1,1,4,4,1,2,2,4,1.0888724898
5416,5,2,2,7,1979,1,,,2,5,,68,100,0,1998,2,2,1,,17,2,,,8,1,8,37,91,2,1,1,3,0,1,1,4,4,1,2,2,4,1.0888724898
5416,5,3,2,7,1991,1,,,2,3,,,,,,,,1,,9,4,,,8,1,8,25,51,1,1,1,4,0,1,1,4,4,1,2,2,4,1.0888724898
5416,5,4,1,7,1981,1,,,2,3,,,,,,,,1,,3,3,,,8,1,8,35,72,2,1,1,2,1,1,1,4,4,1,2,2,4,1.0888724898
5416,5,5,2,9,2011,1,,,2,1,,,,,,,,18,,,5,,,8,1,8,5,,1,7,3,5,0,0,0,4,4,1,2,2,4,1.0888724898
7886,2,1,1,1,1950,1,,,1,5,,56,60,0,1968,1,2,15,2,11,1,,,9,2,9,66,,5,6,3,5,1,1,0,1,2,2,3,0,2,1.1885415745
7886,2,2,2,2,1953,1,,,1,5,,50,60,0,1971,1,2,2,,17,2,,,9,2,9,63,53,4,2,1,3,0,1,1,1,2,2,3,0,2,1.1885415745
11972,2,1,2,1,1948,1,,,1,2,,,,,,,,15,8,7,1,,,16,3,17,68,,5,6,3,5,1,1,0,0,2,3,4,2,4,0.214673813
